,Gender,Age,EstimatedSalary
351,Male,37,75000
389,Female,48,35000
209,Female,46,22000
228,Female,40,72000
344,Male,47,105000
234,Female,38,112000
317,Male,35,55000
388,Male,47,34000
138,Female,28,59000
396,Male,51,23000
372,Female,39,73000
55,Female,24,55000
333,Male,40,65000
61,Male,25,87000
102,Female,32,86000
377,Female,42,53000
65,Male,24,58000
63,Male,32,120000
174,Female,34,72000
301,Male,48,74000
213,Male,35,58000
258,Female,58,95000
334,Male,57,60000
343,Female,47,51000
287,Female,48,138000
99,Female,28,37000
381,Male,48,33000
371,Male,60,83000
150,Female,26,15000
137,Male,30,107000
130,Male,31,58000
259,Female,45,131000
43,Male,30,15000
162,Female,37,33000
188,Male,35,72000
361,Female,53,34000
85,Female,31,118000
1,Male,35,20000
16,Male,47,25000
158,Male,26,30000
45,Male,23,20000
199,Male,35,22000
77,Female,22,27000
216,Male,49,65000
15,Male,29,80000
315,Female,39,75000
195,Male,34,43000
318,Male,45,32000
356,Male,54,70000
151,Male,41,45000
276,Male,38,71000
203,Female,41,71000
364,Male,42,104000
326,Male,41,72000
306,Female,51,134000
383,Male,49,28000
59,Female,32,117000
86,Male,24,55000
347,Female,54,108000
249,Female,35,97000
266,Male,40,75000
139,Male,19,25000
198,Male,26,80000
183,Male,33,43000
193,Male,19,70000
123,Male,35,53000
125,Female,39,61000
110,Female,39,71000
214,Male,47,43000
222,Male,37,144000
94,Female,29,83000
135,Male,23,63000
298,Male,45,79000
380,Male,42,64000
339,Male,39,122000
70,Male,25,80000
370,Female,60,46000
87,Female,28,85000
78,Female,28,87000
42,Male,35,108000
60,Male,27,20000
121,Male,37,72000
320,Female,52,138000
163,Male,35,38000
327,Female,42,75000
126,Male,42,65000
290,Male,39,134000
373,Male,59,130000
220,Female,41,80000
248,Male,41,52000
313,Female,49,141000
44,Female,28,84000
265,Female,42,108000
254,Female,50,44000
296,Male,42,73000
184,Female,33,60000
268,Female,47,144000
187,Female,33,41000
32,Female,21,16000
262,Female,55,125000
2,Female,26,43000
379,Female,58,23000
210,Female,48,96000
288,Male,41,79000
330,Male,38,51000
392,Female,45,45000
159,Female,32,135000
175,Female,23,28000
331,Female,48,119000
27,Female,47,30000
253,Female,37,146000
295,Female,36,63000
202,Female,39,134000
307,Female,47,113000
149,Male,20,74000
346,Male,53,72000
79,Female,26,17000
205,Female,47,47000
122,Female,40,75000
51,Female,18,44000
119,Male,41,59000
316,Female,54,104000
20,Male,45,22000
